method,seed,split,release_filename,size_bytes,sha256,download_url
projection_silhouette,0,1,projection_silhouette/seed_0/split_1/best.pt,57068122,0e4d40b5117fa87d4bd36a1ab53395b720195caa5ff055c02344406b95f1add3,TBD
projection_silhouette,0,2,projection_silhouette/seed_0/split_2/best.pt,57068122,6af461e390ff80f3cfbb87c21be3e6bce2d8ec14980e38c30d10562e866c580c,TBD
projection_silhouette,0,3,projection_silhouette/seed_0/split_3/best.pt,57068122,136c47f1423a556abd772d3c26bb1903dfe1b69d34bf978545775116b03b3127,TBD
projection_silhouette,0,4,projection_silhouette/seed_0/split_4/best.pt,57068122,23d8682aaae22514d0d223d6d0413faeac3548c6ebec345c2c521c73f0883b4c,TBD
projection_silhouette,1,0,projection_silhouette/seed_1/split_0/best.pt,57068122,05bb46828c6c29f7fecf372cad646faf6deadf82e90e09ab2cb14ec4684b5862,TBD
projection_silhouette,1,1,projection_silhouette/seed_1/split_1/best.pt,57068122,e6f49eff0409dc667e836d12554828262d55c809024720d15e402d03ea735194,TBD
projection_silhouette,1,2,projection_silhouette/seed_1/split_2/best.pt,57068122,fb484a25e9940777a474526b841384adef032aac71d41d463d32fb8f28fb53f3,TBD
projection_silhouette,1,3,projection_silhouette/seed_1/split_3/best.pt,57068122,f2968dbeef2995e05963b362bc0c295b5f14eea468260a1f0c0a4a1be490c9ed,TBD
projection_silhouette,1,4,projection_silhouette/seed_1/split_4/best.pt,57068122,c4e02a200aa84f98349a5129cf23371f8c7d59dc794dc770ae6f1598f45beda6,TBD
projection_silhouette,2,0,projection_silhouette/seed_2/split_0/best.pt,57068122,91c7d0ec55611c42a4c6a0937a0959ad2d797148c5699b1eb12b297de254706a,TBD
projection_silhouette,2,1,projection_silhouette/seed_2/split_1/best.pt,57068122,46f4d8296c21f44acf5ce88fe49b99abcd56f64112232adf35d850edd4ed0104,TBD
projection_silhouette,2,2,projection_silhouette/seed_2/split_2/best.pt,57068122,128e4724d4cdbabe458fb399269a2ec2ed5ee843e78d135e1487c758d2c68e03,TBD
projection_silhouette,2,3,projection_silhouette/seed_2/split_3/best.pt,57068122,c40ea5def69b50fb27013fef3d9f40ce216d1f76299209a6d17db2257914a001,TBD
projection_silhouette,2,4,projection_silhouette/seed_2/split_4/best.pt,57068122,ed29ef2fced567639928f522696a831bb8ada2667b695db8cc8ee12d1f903f09,TBD
