method,suite,setting,seed,split,pair,aggregation,metric,value,source
mph_gait,clip_length,len1_c2c3_full,0,0,test_general_to_personal,subject_macro,rank5,0.96,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_general_to_personal,subject_macro,mAP,0.6933361557126045,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_to_personal,query_micro,rank1,0.6138613861386139,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_to_personal,query_micro,rank5,0.8118811881188119,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_to_personal,query_micro,mAP,0.5617001486739309,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_to_personal,subject_macro,rank1,0.6199999999999999,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_to_personal,subject_macro,rank5,0.8180952380952382,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_to_personal,subject_macro,mAP,0.5662205244175026,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_to_special,query_micro,rank1,0.4918032786885246,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_to_special,query_micro,rank5,0.7845433255269321,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_to_special,query_micro,mAP,0.4730679141728325,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_to_special,subject_macro,rank1,0.43293687398089914,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_to_special,subject_macro,rank5,0.7411481481481481,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_to_special,subject_macro,mAP,0.4367004555126172,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,query_micro,rank1,0.463768115942029,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,query_micro,rank5,0.714975845410628,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,query_micro,mAP,0.4470769596344607,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,subject_macro,rank1,0.45456521739130434,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,subject_macro,rank5,0.7085365853658537,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_c4c5_normal,subject_macro,mAP,0.4441110246524625,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,query_micro,rank1,0.5357142857142857,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,query_micro,rank5,0.7714285714285715,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,query_micro,mAP,0.4898415875222002,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,subject_macro,rank1,0.4729166666666667,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,subject_macro,rank5,0.7270833333333333,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_fixed5_c7,subject_macro,mAP,0.4199948525056243,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_all_personal,query_micro,rank1,0.7611940298507462,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
mph_gait,clip_length,len1_c2c3_full,0,0,test_all_personal,query_micro,rank5,0.8855721393034826,mph-gait/outputs/mph_gait/followup/20260809-132538/clip_length/len1_c2c3_full/seed_0/split_0/20260809-132541_seed_0/retrieval_metrics.json
