method,suite,setting,pair,aggregation,metric,mean_of_seed_split_means,seed_std,pooled_split_std,num_seeds,num_runs
PointNet-TMax,train_video_count,len15_16videos_per_id,test_fixed5_c7,subject_macro,mAP,0.5465521034805311,0.03349838833924808,0.06945627115345757,3,15
MPH-Gait,train_clothing,len15_c2,test_general_to_personal,query_micro,mAP,0.7618283530416248,0.05357563533670343,0.11491506209398744,3,15
MPH-Gait,train_clothing,len15_c2,test_fixed5_to_special,query_micro,rank1,0.5978142076502732,0.06556298933713284,0.1469175499640612,3,15
MPH-Gait,train_clothing,len15_c2,test_fixed5_to_special,query_micro,rank5,0.8427790788446526,0.019917187955115646,0.04682175087644419,3,15
MPH-Gait,train_clothing,len15_c2,test_fixed5_to_special,query_micro,mAP,0.5575155767796097,0.04455047545495762,0.10227964687958212,3,15
MPH-Gait,train_clothing,len15_c2,test_fixed5_to_special,subject_macro,mAP,0.5335874780828175,0.040686560518745994,0.09493709959163577,3,15
MPH-Gait,train_clothing,len15_c2,test_fixed5_c4c5_normal,subject_macro,mAP,0.5320407810682722,0.03658117091256572,0.09251450368355059,3,15
MPH-Gait,train_clothing,len15_c2,test_fixed5_c7,subject_macro,mAP,0.4643707347795781,0.04504966249556908,0.10105083053329782,3,15
MPH-Gait,train_clothing,len15_c3,test_general_to_personal,query_micro,mAP,0.7861952913281282,0.008059460080071752,0.055623322349178224,3,15
MPH-Gait,train_clothing,len15_c3,test_fixed5_to_special,query_micro,rank1,0.6838407494145199,0.07717684802474978,0.12328381359334596,3,15
MPH-Gait,train_clothing,len15_c3,test_fixed5_to_special,query_micro,rank5,0.8885245901639345,0.03822618617137276,0.05859358101531671,3,15
MPH-Gait,train_clothing,len15_c3,test_fixed5_to_special,query_micro,mAP,0.6178734627374208,0.05046801972628461,0.08065966732197764,3,15
MPH-Gait,train_clothing,len15_c3,test_fixed5_to_special,subject_macro,mAP,0.6042271513226162,0.049673959801479706,0.08178590847406671,3,15
MPH-Gait,train_clothing,len15_c3,test_fixed5_c4c5_normal,subject_macro,mAP,0.5980390053468965,0.05553368085441228,0.10506989056461195,3,15
MPH-Gait,train_clothing,len15_c3,test_fixed5_c7,subject_macro,mAP,0.531689197535937,0.05391413093909885,0.07488727961301406,3,15
MPH-Gait,train_video_count,len15_2videos_per_id,test_general_to_personal,query_micro,mAP,0.22962341824152013,0.009611925125953645,0.020567873398581425,3,15
MPH-Gait,train_video_count,len15_2videos_per_id,test_fixed5_to_special,query_micro,rank1,0.3389539422326307,0.021177084678276028,0.05445131349249486,3,15
MPH-Gait,train_video_count,len15_2videos_per_id,test_fixed5_to_special,query_micro,rank5,0.7080405932864949,0.027392349413537492,0.03541044184814324,3,15
MPH-Gait,train_video_count,len15_2videos_per_id,test_fixed5_to_special,query_micro,mAP,0.21807905494771276,0.010254472002683458,0.019374693070377556,3,15
MPH-Gait,train_video_count,len15_2videos_per_id,test_fixed5_to_special,subject_macro,mAP,0.21773413327770172,0.009586719368765475,0.019131775230549163,3,15
MPH-Gait,train_video_count,len15_2videos_per_id,test_fixed5_c4c5_normal,subject_macro,mAP,0.21784812641502502,0.010563056745474003,0.019360410340120576,3,15
MPH-Gait,train_video_count,len15_2videos_per_id,test_fixed5_c7,subject_macro,mAP,0.2398926081104825,0.011536962883135028,0.025286864471684378,3,15
MPH-Gait,train_video_count,len15_4videos_per_id,test_general_to_personal,query_micro,mAP,0.36004875743506,0.024725130564813392,0.04325502763121558,3,15
MPH-Gait,train_video_count,len15_4videos_per_id,test_fixed5_to_special,query_micro,rank1,0.5820452771272443,0.0235510211675357,0.07709563299889684,3,15
MPH-Gait,train_video_count,len15_4videos_per_id,test_fixed5_to_special,query_micro,rank5,0.8619828259172522,0.012441356323582505,0.04000474084331091,3,15
MPH-Gait,train_video_count,len15_4videos_per_id,test_fixed5_to_special,query_micro,mAP,0.30863438560965467,0.004244210343361478,0.027936343573190307,3,15
MPH-Gait,train_video_count,len15_4videos_per_id,test_fixed5_to_special,subject_macro,mAP,0.29883433698948725,0.0017688318727583502,0.0262202658376118,3,15
MPH-Gait,train_video_count,len15_4videos_per_id,test_fixed5_c4c5_normal,subject_macro,mAP,0.29664557833411,0.0004851885476823087,0.030394479558476285,3,15
MPH-Gait,train_video_count,len15_4videos_per_id,test_fixed5_c7,subject_macro,mAP,0.30780344669707116,0.009230789389162327,0.0350293225582916,3,15
MPH-Gait,train_video_count,len15_8videos_per_id,test_general_to_personal,query_micro,mAP,0.5139115820356395,0.04302659752563633,0.06207105948496097,3,15
MPH-Gait,train_video_count,len15_8videos_per_id,test_fixed5_to_special,query_micro,rank1,0.6271662763466042,0.023849290449416118,0.11469258655039713,3,15
MPH-Gait,train_video_count,len15_8videos_per_id,test_fixed5_to_special,query_micro,rank5,0.8741608118657299,0.018693682494420993,0.04178401335727313,3,15
MPH-Gait,train_video_count,len15_8videos_per_id,test_fixed5_to_special,query_micro,mAP,0.41741054764164326,0.04352079798644915,0.09651940079594114,3,15
MPH-Gait,train_video_count,len15_8videos_per_id,test_fixed5_to_special,subject_macro,mAP,0.40082339587939436,0.04274449835003183,0.09426638577187996,3,15
MPH-Gait,train_video_count,len15_8videos_per_id,test_fixed5_c4c5_normal,subject_macro,mAP,0.40171937624830717,0.04449365017331323,0.09728047251319712,3,15
MPH-Gait,train_video_count,len15_8videos_per_id,test_fixed5_c7,subject_macro,mAP,0.38418670608972505,0.019601884597546415,0.061023856109583954,3,15
MPH-Gait,train_video_count,len15_16videos_per_id,test_general_to_personal,query_micro,mAP,0.7823562657483945,0.018576046192811946,0.0691422530450109,3,15
MPH-Gait,train_video_count,len15_16videos_per_id,test_fixed5_to_special,query_micro,rank1,0.6830601092896176,0.016100122999527545,0.11331818947323016,3,15
MPH-Gait,train_video_count,len15_16videos_per_id,test_fixed5_to_special,query_micro,rank5,0.8654176424668227,0.01455930457689277,0.05161347871149682,3,15
MPH-Gait,train_video_count,len15_16videos_per_id,test_fixed5_to_special,query_micro,mAP,0.6326549428815399,0.032059402513685775,0.09490695271775029,3,15
MPH-Gait,train_video_count,len15_16videos_per_id,test_fixed5_to_special,subject_macro,mAP,0.6100446873602321,0.030727927296539306,0.09421642985745572,3,15
MPH-Gait,train_video_count,len15_16videos_per_id,test_fixed5_c4c5_normal,subject_macro,mAP,0.6202979718014155,0.036648779989579806,0.11438625840338852,3,15
MPH-Gait,train_video_count,len15_16videos_per_id,test_fixed5_c7,subject_macro,mAP,0.5272075136337016,0.021495729720056117,0.058882536672073424,3,15
Official-code adapted LidarGait++,train_clothing,len15_c2,test_general_to_personal,query_micro,mAP,0.9552943486824534,0.015379903232589039,0.05081751607215594,3,15
Official-code adapted LidarGait++,train_clothing,len15_c2,test_fixed5_to_special,query_micro,rank1,0.6134270101483216,0.021756203594811025,0.08102487951659168,3,15
Official-code adapted LidarGait++,train_clothing,len15_c2,test_fixed5_to_special,query_micro,rank5,0.7689305230288838,0.019531609684928678,0.08575252712777497,3,15
Official-code adapted LidarGait++,train_clothing,len15_c2,test_fixed5_to_special,query_micro,mAP,0.631451334330856,0.009301608601086931,0.04927624236205276,3,15
Official-code adapted LidarGait++,train_clothing,len15_c2,test_fixed5_to_special,subject_macro,mAP,0.6375482264079055,0.011155346303779666,0.04280451153288106,3,15
Official-code adapted LidarGait++,train_clothing,len15_c2,test_fixed5_c4c5_normal,subject_macro,mAP,0.665996652805524,0.013290644586877563,0.05955874825484403,3,15
Official-code adapted LidarGait++,train_clothing,len15_c2,test_fixed5_c7,subject_macro,mAP,0.512184371261133,0.012539512826300822,0.05720174211747095,3,15
Official-code adapted LidarGait++,train_clothing,len15_c3,test_general_to_personal,query_micro,mAP,0.9547384879532593,0.0033760863198279774,0.043440983794374485,3,15
Official-code adapted LidarGait++,train_clothing,len15_c3,test_fixed5_to_special,query_micro,rank1,0.6170179547228728,0.03154172536438501,0.09095928156002894,3,15
Official-code adapted LidarGait++,train_clothing,len15_c3,test_fixed5_to_special,query_micro,rank5,0.7960967993754879,0.039087548304184636,0.096037646570378,3,15
Official-code adapted LidarGait++,train_clothing,len15_c3,test_fixed5_to_special,query_micro,mAP,0.6315603766727038,0.01654085040586089,0.07107053390011783,3,15
Official-code adapted LidarGait++,train_clothing,len15_c3,test_fixed5_to_special,subject_macro,mAP,0.6289952885861676,0.012833037034828586,0.0688812527732746,3,15
Official-code adapted LidarGait++,train_clothing,len15_c3,test_fixed5_c4c5_normal,subject_macro,mAP,0.6657143745976614,0.016914931854488717,0.06689622000498366,3,15
Official-code adapted LidarGait++,train_clothing,len15_c3,test_fixed5_c7,subject_macro,mAP,0.5274363175696797,0.02348263061075132,0.09592767032576258,3,15
Official-code adapted LidarGait++,train_video_count,len15_2videos_per_id,test_general_to_personal,query_micro,mAP,0.9669580926684773,0.008389069243866119,0.04197818050931182,3,15
Official-code adapted LidarGait++,train_video_count,len15_2videos_per_id,test_fixed5_to_special,query_micro,rank1,0.5879781420765028,0.018206161225975168,0.04630821440364757,3,15
Official-code adapted LidarGait++,train_video_count,len15_2videos_per_id,test_fixed5_to_special,query_micro,rank5,0.7238095238095239,0.00994573508735861,0.07249856577050977,3,15
Official-code adapted LidarGait++,train_video_count,len15_2videos_per_id,test_fixed5_to_special,query_micro,mAP,0.631788760488802,0.009146429247279092,0.029179770779140385,3,15
Official-code adapted LidarGait++,train_video_count,len15_2videos_per_id,test_fixed5_to_special,subject_macro,mAP,0.6385224303531388,0.009457022362566361,0.030370044199944924,3,15
Official-code adapted LidarGait++,train_video_count,len15_2videos_per_id,test_fixed5_c4c5_normal,subject_macro,mAP,0.6863785332196559,0.012333995856416344,0.03674415959690679,3,15
Official-code adapted LidarGait++,train_video_count,len15_2videos_per_id,test_fixed5_c7,subject_macro,mAP,0.5051236123053564,0.02009358496433908,0.057363090905727644,3,15
Official-code adapted LidarGait++,train_video_count,len15_4videos_per_id,test_general_to_personal,query_micro,mAP,0.970015578188343,0.009860343668653578,0.03494927072359713,3,15
Official-code adapted LidarGait++,train_video_count,len15_4videos_per_id,test_fixed5_to_special,query_micro,rank1,0.6234192037470726,0.029268071217572623,0.06638397651451786,3,15
Official-code adapted LidarGait++,train_video_count,len15_4videos_per_id,test_fixed5_to_special,query_micro,rank5,0.7590944574551132,0.05190452650289707,0.09431812744866158,3,15
Official-code adapted LidarGait++,train_video_count,len15_4videos_per_id,test_fixed5_to_special,query_micro,mAP,0.6419396881557925,0.017472330698402375,0.0400277408495464,3,15
Official-code adapted LidarGait++,train_video_count,len15_4videos_per_id,test_fixed5_to_special,subject_macro,mAP,0.6478282073944233,0.012895376216800229,0.041087560962084616,3,15
Official-code adapted LidarGait++,train_video_count,len15_4videos_per_id,test_fixed5_c4c5_normal,subject_macro,mAP,0.6928922122149749,0.016942951340573737,0.043571377957127816,3,15
Official-code adapted LidarGait++,train_video_count,len15_4videos_per_id,test_fixed5_c7,subject_macro,mAP,0.5157797760557797,0.014616685433200034,0.05816707096021321,3,15
Official-code adapted LidarGait++,train_video_count,len15_8videos_per_id,test_general_to_personal,query_micro,mAP,0.9704603744421908,0.006395188970376764,0.0393938064332928,3,15
Official-code adapted LidarGait++,train_video_count,len15_8videos_per_id,test_fixed5_to_special,query_micro,rank1,0.6304449648711944,0.015340323321863072,0.07941470062050804,3,15
Official-code adapted LidarGait++,train_video_count,len15_8videos_per_id,test_fixed5_to_special,query_micro,rank5,0.7530054644808742,0.010607517721444526,0.09002591570119894,3,15
Official-code adapted LidarGait++,train_video_count,len15_8videos_per_id,test_fixed5_to_special,query_micro,mAP,0.6596231108166388,0.0027902135341083536,0.06811852319261742,3,15
Official-code adapted LidarGait++,train_video_count,len15_8videos_per_id,test_fixed5_to_special,subject_macro,mAP,0.6590345614748138,0.0024450454086226087,0.06441302921314845,3,15
Official-code adapted LidarGait++,train_video_count,len15_8videos_per_id,test_fixed5_c4c5_normal,subject_macro,mAP,0.7068640789216948,0.009625478683662498,0.06903438356931381,3,15
Official-code adapted LidarGait++,train_video_count,len15_8videos_per_id,test_fixed5_c7,subject_macro,mAP,0.5280696260101265,0.005146752912630357,0.0722600998724995,3,15
Official-code adapted LidarGait++,train_video_count,len15_16videos_per_id,test_general_to_personal,query_micro,mAP,0.9736462672337208,0.0020842870415969782,0.0333372303960684,3,15
Official-code adapted LidarGait++,train_video_count,len15_16videos_per_id,test_fixed5_to_special,query_micro,rank1,0.6419984387197503,0.018429721354598035,0.09679761273608399,3,15
Official-code adapted LidarGait++,train_video_count,len15_16videos_per_id,test_fixed5_to_special,query_micro,rank5,0.7686182669789227,0.010139911245045753,0.09285037476577483,3,15
Official-code adapted LidarGait++,train_video_count,len15_16videos_per_id,test_fixed5_to_special,query_micro,mAP,0.6762845742793218,0.01334936647796089,0.06951448698579146,3,15
Official-code adapted LidarGait++,train_video_count,len15_16videos_per_id,test_fixed5_to_special,subject_macro,mAP,0.6763959040416915,0.013588636531116116,0.06317217259644474,3,15
Official-code adapted LidarGait++,train_video_count,len15_16videos_per_id,test_fixed5_c4c5_normal,subject_macro,mAP,0.7136831902237158,0.004117443455255648,0.05994696066103849,3,15
